Verein,Name,Einsätze,Einwechslungen,Auswechslungen,Spielminuten,Tore,Torschüsse,Torvorlagen,Torschussvorlagen,Elfmeter verwandelt,Elfmeter verschossen,Laufleistung,Ballkontakte,Zweikampfquote,gespielte Pässe,angekommene Pässe,Fehlpässe,Passquote,Fouls,Gefoult worden,Abseits,Gelbe Karten,Gelb-rote Karten,Rote Karten,Note
VfL Wolfsburg,Yunus Malli,32,4,11,2551,7,61,8,51,3,0,326.94,1447,41,879,615,264,70,18,37,13,0,0,1,3.81
VfL Wolfsburg,Sebastian Jung,4,0,3,293,0,0,1,4,0,0,36.70,201,59,118,92,26,78,1,4,0,0,0,0,4.13
VfL Wolfsburg,Philipp Wollscheid,7,1,0,542,0,6,0,3,0,0,61.08,478,83,411,333,78,81,4,4,0,0,0,0,4.25
VfL Wolfsburg,Vieirinha,21,8,10,1214,0,21,0,20,0,0,141.65,837,61,523,391,132,75,16,27,3,0,0,3,4.44
VfL Wolfsburg,Victor Osimhen,2,2,0,47,0,1,0,1,0,0,6.99,30,33,16,12,4,75,1,0,1,0,0,1,4.50
VfL Wolfsburg,Bruno Henrique,7,6,1,183,0,4,0,5,0,0,20.87,116,54,55,37,18,67,4,11,1,0,0,0,4.75
FC Ingolstadt 04,Örjan Nyland,12,1,0,1023,0,0,0,0,0,0,65.37,442,86,346,176,170,51,0,1,0,0,0,0,3.21
FC Ingolstadt 04,Martin Hansen,23,0,1,2037,0,0,0,1,0,0,104.79,817,77,644,316,328,49,1,4,0,0,0,1,3.28
FC Ingolstadt 04,Romain Bregerie,17,0,0,1526,3,14,0,7,0,0,172.09,849,54,637,454,183,71,21,9,0,1,0,3,3.29
FC Ingolstadt 04,Almog Cohen,31,2,8,2494,7,60,2,8,1,0,308.67,1288,55,868,637,231,73,53,42,1,0,0,2,3.36
FC Ingolstadt 04,Sonny Kittel,20,13,6,794,2,22,1,10,0,0,104.98,401,38,225,171,54,76,13,10,4,0,0,2,3.44
FC Ingolstadt 04,Markus Suttner,31,0,4,2732,4,44,5,54,0,0,329.84,1969,54,1024,618,406,60,35,17,3,0,0,10,3.47
FC Ingolstadt 04,Marcel Tisserand,28,1,2,2388,0,16,2,6,0,0,267.30,1348,52,998,706,292,71,50,14,2,0,0,9,3.50
FC Ingolstadt 04,Marvin Matip,33,0,1,2969,0,27,0,8,0,0,325.91,1643,60,1197,879,318,73,27,13,1,0,0,5,3.55
