Verein,Name,Einsätze,Einwechslungen,Auswechslungen,Spielminuten,Tore,Torschüsse,Torvorlagen,Torschussvorlagen,Elfmeter verwandelt,Elfmeter verschossen,Laufleistung,Ballkontakte,Zweikampfquote,gespielte Pässe,angekommene Pässe,Fehlpässe,Passquote,Fouls,Gefoult worden,Abseits,Gelbe Karten,Gelb-rote Karten,Rote Karten,Note
TSG Hoffenheim,Eduardo Vargas,5,5,0,101,0,3,0,3,0,0,13.45,60,35,44,35,9,80,3,1,0,0,0,1,3.00
TSG Hoffenheim,Niklas Süle,33,0,2,2885,2,26,2,8,0,0,328.08,2707,70,2341,2098,243,90,18,22,0,0,0,4,3.02
TSG Hoffenheim,Andrej Kramaric,34,6,15,2364,15,99,8,37,5,0,307.34,1280,39,834,693,141,83,14,35,17,0,0,1,3.03
TSG Hoffenheim,Adam Szalai,22,15,5,782,8,18,1,16,0,0,101.95,406,41,259,178,81,69,19,7,8,0,0,2,3.06
TSG Hoffenheim,Mark Uth,22,10,8,1153,7,39,3,21,0,0,135.62,624,46,381,284,97,75,26,26,10,0,0,4,3.07
TSG Hoffenheim,Pavel Kaderabek,23,1,2,1974,0,8,3,30,0,0,241.89,1353,48,774,577,197,75,35,26,4,0,0,2,3.09
TSG Hoffenheim,Kevin Vogt,31,1,3,2595,0,3,0,9,0,0,294.52,2456,60,2190,2011,179,92,23,28,0,0,0,6,3.10
TSG Hoffenheim,Nadiem Amiri,33,13,14,1937,2,48,4,33,0,0,251.86,1270,40,846,707,139,84,44,47,5,0,0,2,3.15
TSG Hoffenheim,Sandro Wagner,31,1,5,2596,11,66,5,18,0,0,304.44,1241,48,795,502,293,63,80,84,31,1,0,3,3.17
TSG Hoffenheim,Lukas Rupp,14,6,4,792,2,16,0,12,0,0,108.75,525,44,327,253,74,77,19,19,0,0,0,2,3.28
TSG Hoffenheim,Ermin Bicakcic,18,7,3,1055,1,9,1,6,0,0,126.70,906,63,724,647,77,89,12,15,0,0,0,4,3.31
TSG Hoffenheim,Steven Zuber,24,1,2,2026,4,36,4,18,0,0,249.11,1610,52,1041,847,194,81,27,37,1,0,0,2,3.33
TSG Hoffenheim,Pirmin Schwegler,10,8,0,396,0,4,1,4,0,0,51.23,332,50,268,219,49,82,12,6,0,0,0,1,3.40
TSG Hoffenheim,Marco Terrazzino,9,5,4,364,1,6,3,9,0,0,48.38,202,46,131,106,25,81,5,7,2,0,0,0,3.42
TSG Hoffenheim,Eugen Polanski,14,7,4,634,0,5,0,4,0,0,83.86,579,61,496,441,55,89,8,13,0,0,0,1,3.50
TSG Hoffenheim,Jeremy Toljan,20,6,3,1318,1,13,1,15,0,0,153.05,870,43,507,392,115,77,4,14,1,0,0,1,3.50
TSG Hoffenheim,Fabian Schär,6,3,2,284,0,2,0,0,0,0,31.62,232,49,182,154,28,85,7,5,0,0,0,2,4.20
TSG Hoffenheim,Philipp Ochs,3,1,1,145,0,0,0,1,0,0,16.93,99,31,66,51,15,77,5,0,0,0,0,1,4.50
Borussia Dortmund,Roman Bürki,27,0,0,2430,0,0,0,0,0,0,140.85,1154,88,904,673,231,74,1,7,0,0,0,2,2.72
Borussia Dortmund,Ousmane Dembelé,32,10,14,2036,6,55,13,64,0,0,240.56,1409,52,761,510,251,67,27,62,5,0,0,7,2.76
Borussia Dortmund,Marco Reus,17,1,10,1179,7,43,5,25,2,0,130.98,677,47,417,315,102,76,26,28,15,0,1,1,2.88
Borussia Dortmund,Nuri Sahin,5,1,3,230,0,1,0,2,0,0,27.52,232,43,200,176,24,88,3,3,0,0,0,1,3.00
Borussia Dortmund,Sokratis,26,0,3,2297,2,20,0,6,0,0,246.33,2279,68,1926,1691,235,88,43,57,1,0,0,7,3.06
Borussia Dortmund,Pierre-Emerick Aubameyang,32,1,5,2779,31,116,2,27,2,2,287.38,901,40,518,361,157,70,23,21,30,0,0,3,3.08
Borussia Dortmund,Raphael Guerreiro,24,7,9,1481,6,33,6,27,0,0,189.79,1385,48,967,774,193,80,16,12,3,0,0,0,3.21
Borussia Dortmund,Marcel Schmelzer,26,1,6,2188,0,27,1,21,0,0,251.77,2079,54,1476,1219,257,83,34,51,4,0,0,3,3.21
Borussia Dortmund,Shinji Kagawa,21,8,5,1261,1,20,6,35,0,0,156.12,887,51,681,581,100,85,16,26,3,0,0,3,3.21
Borussia Dortmund,Sven Bender,6,3,1,272,0,2,0,1,0,0,33.42,296,55,257,239,18,93,3,2,0,0,0,0,3.25
Borussia Dortmund,Lukasz Piszczek,25,2,1,2038,5,20,3,18,0,0,249.04,1753,54,1254,1011,243,81,17,13,0,0,0,1,3.25
Borussia Dortmund,Gonzalo Castro,28,5,10,1921,3,30,6,42,0,0,245.48,1710,48,1397,1174,223,84,21,23,0,0,0,5,3.29
Borussia Dortmund,Mario Götze,11,2,5,760,1,6,1,14,0,0,98.28,516,39,390,321,69,82,17,17,2,0,0,1,3.30
Borussia Dortmund,Julian Weigl,30,3,5,2414,0,7,0,8,0,0,307.70,2403,62,2026,1815,211,90,34,62,0,0,0,2,3.34
Borussia Dortmund,Adrian Ramos,7,3,1,357,2,12,1,5,0,0,38.98,136,38,80,53,27,66,11,8,1,0,0,2,3.38
Borussia Dortmund,André Schürrle,15,7,3,748,2,36,4,17,1,0,89.12,427,50,247,179,68,72,9,18,9,0,0,3,3.38
Borussia Dortmund,Christian Pulisic,29,14,5,1525,3,32,8,26,0,0,189.23,917,47,527,386,141,73,22,33,3,0,0,1,3.45
Borussia Dortmund,Roman Weidenfeller,7,0,0,630,0,0,0,0,0,0,35.68,224,25,169,128,41,76,0,1,0,0,0,0,3.50
Borussia Dortmund,Marc Bartra,19,1,2,1560,0,20,4,10,0,0,183.29,1720,55,1412,1161,251,82,33,19,1,0,0,5,3.53
Borussia Dortmund,Matthias Ginter,29,3,1,2476,0,20,0,7,0,0,280.00,2456,64,2148,1872,276,87,21,29,2,0,0,4,3.55
Borussia Dortmund,Erik Durm,13,3,2,976,0,10,2,16,0,0,122.13,694,53,455,332,123,73,9,14,2,0,0,1,3.63
Borussia Dortmund,Emre Mor,12,7,4,477,1,10,3,9,0,0,55.50,301,50,136,102,34,75,9,18,0,1,0,0,3.93
Borussia Dortmund,Felix Passlack,10,4,3,534,0,3,0,4,0,0,65.38,514,46,376,337,39,90,6,7,0,0,0,1,4.00
Borussia Dortmund,Mikel Merino,8,6,0,298,0,5,0,3,0,0,39.58,437,56,350,293,57,84,5,7,0,0,0,1,4.17
Borussia Dortmund,Sebastian Rode,14,9,3,581,1,5,0,8,0,0,75.50,545,41,445,396,49,89,9,8,0,0,0,0,4.44
Borussia Dortmund,Dzenis Burnic,1,0,0,90,0,0,0,1,0,0,10.34,92,60,76,61,15,80,1,0,0,0,0,1,5.00
Borussia Dortmund,Joo-Ho Park,2,1,1,65,0,0,0,2,0,0,9.02,58,75,30,28,2,93,1,3,0,0,0,0,5.00
1. FC Köln,Timo Horn,20,0,0,1800,0,0,0,1,0,0,99.94,738,85,588,336,252,57,1,3,0,0,0,0,2.58
